0,1,2,3,4,5,6
Γκιόλας,Ιωάννης,Δημητρίου,,,,
Ανδριανός,Ιωάννης,Σωτηρίου,,,,
Μανιάτης,Ιωάννης,Αναστασίου,,,,
Παπαηλιού,Γεώργιος,Ηλία,,,,
Βλάσης,Κωνσταντίνος,Γεωργίου,,,,
Κωνσταντινόπουλος,Οδυσσέας,Κωνσταντίνου,,,,
Γεροβασίλη,Όλγα,Βασιλείου,,,,
Τσίρκας,Βασίλειος,Δημητρίου,,,,
Στύλιος,Γεώργιος,Δημοσθένη,,,,
Αναγνωστοπούλου,Αθανασία,(Σία),Πέτρου,,,
Σπαρτινός,Κωνσταντίνος,Νικολάου,,,,
Ριζούλης,Ανδρέας,Κωνσταντίνου,,,,
Κατσανιώτης,Ανδρέας,Ιωάννη,,,,
Παπαθεοδώρου,Θεόδωρος,Παναγιώτη,,,,
Καραθανασόπουλος,Νικόλαος,Πέτρου,,,,
Φωτήλας,Ιάσων,Ασημάκη,,,,
Νικολόπουλος,Νικόλαος,Ιωάννου,,,,
Θηβαίος,Νικόλαος,Γεωργίου,,,,
Καρακώστας,Ευάγγελος,Θεοδώρου,,,,
Κουτσούμπας,Ανδρέας,Βασιλείου,,,,
Μπγιάλας,Χρήστος,Αθανασίου,,,,
Καραγιαννίδης,Χρήστος,Γεωργίου,,,,
Κυριαζίδης,Δημήτριος,Τριαντάφυλλου,,,,
Κεφαλίδου,Χαρούλα,(Χαρά),Δημητρίου,,,
Σαντορινιός,,Νεκτάριος,Κωνσταντίνου,,,
Γάκης,Δημήτριος,Θωμά,,,,
Καματερός,Ηλίας,,Ιωάννη,,,
Κόνσολας,Εμμανουήλ,(Μάνος),Νικία,,,
Κρεμαστινός,Δημήτριος,Θωμά,,,,
Καΐσας,Γεώργιος,,Δημητρίου,,,
Γκαρά,Αναστασία,(Νατάσα),,Γεωργίου,,
Ρίζος,,Δημήτριος,Γεωργίου,,,
Δημοσχάκης,,Αναστάσιος,(Τάσος),Σπύρου,,
Αποστόλου,Ευάγγελος,Δημητρίου,,,,
Ακριώτης,Γεώργιος,Κυριάκου,,,,
Πρατσόλης,Αναστάσιος,(Τάσος),Κλεάνθη,,,
Λιβανίου,Ζωή,Ευαγγέλου,,,,
Κεδίκογλου,Συμεών,(Σίμος),Βασιλείου,,,
Μίχος,Νικόλαος,Αντωνίου,,,,
Κοντογεώργος,Κωνσταντίνος,Αθανασίου,,,,
Κοντονής,Χαράλαμπος,-,Σταύρος,Νικολάου,,
Γεωργοπούλου,-,Σαλτάρη,Ευσταθία,(Έφη),Ευσταθίου,
Μπαξεβανάκης,,Δημήτριος,,Σόλωνα,,
Μπαλαούρας,Γεράσιμος,,Δημητρίου,,,
Τζαβάρας,Κωνσταντίνος,Γεωργίου,,,,
Κουτσούκος,Γιάννης,Δημητρίου,,,,
Καρασαρλίδου,Ευφροσύνη,(Φρόσω),,Γεωργίου,,
Ουρσουζίδης,,Γεώργιος,Νικολάου,,,
Αντωνίου,Χρήστος,Αθανασίου,,,,
Βεσυρόπουλος,Απόστολος,Φωτίου,,,,
Τσίπρας,Αλέξιος,Παύλου,,,,
Μιχελογιαννάκης,Ιωάννης,Δημητρίου,,,,
Βαρδάκης,Σωκράτης,Δημητρίου,,,,
Ηγουμενίδης,Νικόλαος,Εμμανουήλ,,,,
Αυγενάκης,Ελευθέριος,Κωνσταντίνου,,,,
Κεγκέρογλου,Βασίλειος,Αλεξάνδρου,,,,
Συντυχάκης,Εμμανουήλ,Δανιήλ,,,,
Δανέλλης,Σπυρίδων,Αθανασίου,,,,
Κάτσης,,Μάριος,,Σπυρίδωνος,,
Γιόγιακας,Βασίλειος,Νικολάου,,,,
Παρασκευόπουλος,Νικόλαος,Ανδρέα,,,,
Αμανατίδης,Ιωάννης,Γεωργίου,,,,
Κουράκης,Αναστάσιος,(Τάσος),Στυλιανού,,,
Μπόλαρης,Μάρκος,Ηλία,,,,
Μηταφίδης,,Τριαντάφυλλος,,Ανδρέα,,
Τριανταφυλλίδης,,Αλέξανδρος,(Αλέκος),Γεωργίου,,
Καραμανλής,Κωνσταντίνος,Αλεξάνδρου,,,,
Γκιουλέκας,Κωνσταντίνος,Πέτρου,,,,
Καλαφάτης,Σταύρος,Αθανασίου,,,,
Ράπτη,Ελένη,Δημητρίου,,,,
Γρέγος,Αντώνιος,Βασιλείου,,,,
Βενιζέλος,Ευάγγελος,Βασιλείου,,,,
Δελής,Ιωάννης,Ιωάννη,,,,
Θεοδωράκης,Σταύρος,Παναγιώτη,,,,
Ζουράρης,Κωνσταντίνος,,Γεωργίου,,,
Σαρίδης,Ιωάννης,Γεωργίου,,,,
Φάμελλος,,Σωκράτης,Πέτρου,,,
Μάρδας,Δημήτριος,Χρυσοβέργη,,,,
Καράογλου,Θεόδωρος,Γεωργίου,,,,
Αναστασιάδης,Σάββας,Ιωάννη,,,,
Αρβανιτίδης,Γεώργιος,Πέτρου,,,,
Βαρδαλής,,Αθανάσιος,Δημητρίου,,,
Λαζαρίδης,Γεώργιος,Ιωάννη,,,,
Φωκάς,Αριστείδης,Χρήστου,,,,
