names
Αθανασίου Αθανάσιος (Νάσος) Ευθυμίου
ΣκουρολιάκοςΠαναγιώτης (Πάνος)Λουκά
Μυλωνάκης Αντώνιος Αντωνίου
Απατζίδη Μαρία Κυρίλλου
Λιάκος Ευάγγελος Γεωργίου
Λιβανός Σπυρίδωνας Παναγιώτης (Σπήλιος) Διονυσίου
Βαρεμένος Γεώργιος Βασιλείου
Μωραΐτης Αθανάσιος (Θάνος) Χρήστου
Κωνσταντόπουλος ΔημήτριοςΧρήστου
Γκιόλας Ιωάννης Δημητρίου
Γκόκας Χρήστος Ναπολέοντα
Τσιγκρής Άγγελος Αντωνίου
Μάρκου Κωνσταντίνος Βασιλείου
Κουτσούμπας Ανδρέας Βασιλείου
Πάτσης Ανδρέας Κωνσταντίνου
Μπλούχος Κωνσταντίνος Δημητρίου
Κεφαλίδου Χαρούλα (Χαρά) Δημητρίου
Υψηλάντης Βασίλειος Νικόλαος Αναστασίου
Γάκης Δημήτριος Θωμά
Δημοσχάκης Αναστάσιος (Τάσος) Σπύρου
Γκαρά Αναστασία (Νατάσα)Γεωργίου
Πνευματικός Σπυρίδωνας Γεωργίου
Αποστόλου Ευάγγελος Δημητρίου
Χατζηγιαννάκης Μιλτιάδης Ευαγγέλου
Κοντογεώργος Κωνσταντίνος Αθανασίου
Τζαβάρας Κωνσταντίνος Γεωργίου
Τσαβδαρίδης Λάζαρος Γεωργίου
Ηγουμενίδης Νικόλαος Εμμανουήλ
Κεγκέρογλου Βασίλειος Αλεξάνδρου
Λογιάδης Γεώργιος Σοφοκλή Εμμανουήλ
ΚάτσηςΜάριοςΣπυρίδωνος
Καραμανλής Κωνσταντίνος Αλεξάνδρου
Ζουράρης ΚωνσταντίνοςΓεωργίου
ΤριανταφυλλίδηςΑλέξανδρος (Αλέκος) Γεωργίου
Καστανίδης Χαράλαμπος Γεωργίου
Αβδελάς Απόστολος Κωνσταντίνου
Βαρουφάκης Γιάνης Γεωργίου
Αρβανιτίδης Γεώργιος Πέτρου
Αδάμου Κωνσταντίνα Στεργίου
Καλογιάννης Σταύρος Ελευθερίου
Κεφάλα Μαρία Αλεξάνδρα Στεφάνου
Αμυράς Γεώργιος Στυλιανού
Σκόνδρα Ασημίνα Χρήστου
ΛάππαςΣπυρίδωνας Ευαγγέλου
Τζηκαλάγιας Ζήσης Γεωργίου
Τελιγιορίδου Ολυμπία Ιωάννη
Αγαθοπούλου Ειρήνη Ελένη Δημητρίου
Φραγγίδης Γεώργιος Σταύρου
Βρυζίδου Παρασκευή Παναγιώτη
Παπαδόπουλος Μιχάλης Γεωργίου
Αμανατίδης Γεώργιος Ισαάκ
Κόλλιας Κωνσταντίνος Ταξιάρχου
Αραχωβίτης Σταύρος Γεωργίου
Μπίζιου Στεργιανή (Στέλλα) Νικολάου
Βαγενά Κηλαηδόνη Άννα
Θραψανιώτης Εμμανουήλ Μιχαήλ
Κομνηνάκα Μαρία Αποστόλου
Λιούπης Αθανάσιος Κωνσταντίνου
Μαραβέγιας Κωνσταντίνος Αριστοτέλη
ΠαπανάτσιουΑικατερίνη Στέργιου
Λαμπρόπουλος Ιωάννης Δημητρίου
Μαντάς Περικλής Παντελή
Καρασμάνης Γεώργιος Αθανασίου
Χιονίδης Σάββας Γεωργίου
Σκούφα Ελισσάβετ (Μπέττυ) Δημητρίου
Γιαννάκης Στέργιος Κωνσταντίνου
Ξανθός Ανδρέας Γεωργίου
Χαρίτου Δημήτριος (Τάκης) Αθανασίου
Αραμπατζή Φωτεινή Αθανασίου
Λεονταρίδης Θεόφιλος Χρήστου
Αβραμάκης Ελευθέριος Αντωνίου
Λιούτας Αθανάσιος Αχιλλέως
Παπακώστα Παλιούρα Αικατερίνη (Κατερίνα) Δημητρίου
ΠαπαδόπουλοςΑθανάσιος (Σάκης) Αποστόλου
Οικονόμου Ιωάννης Δημητρίου
Κοτρωνιάς Γεώργιος Νικολάου
Μακρή Θεοδώρου Ελένη Ευαγγέλου
Αντωνιάδης Ιωάννης Δημητρίου
Βαγιωνάς Γεώργιος Κωνσταντίνου
Διγαλάκης Βασίλειος Βασιλείου
Κασσελάκης Ιωάννης Βασ.
ΜιχαηλίδηςΑνδρέαςΦραγκούλη
Κοτζιάς Νικόλαος Άγγελου
Χριστοδουλοπούλου Αναστασία Ζαχαρία
Γαβρόγλου Κωνσταντίνος Βασιλείου
Φορτσάκης Θεόδωρος Πέτρου
Σταμάτης Δημήτριος Ιωάννη
Παππάς Χρήστος Ηλία
Θεοχαρόπουλος Αθανάσιος Στεφάνου
Μιχαλολιάκος Νικόλαος Γεωργίου
